Month,State,Cases
2021-03,NJ,"128,214"
2021-03,MI,"89,338"
2021-03,GA,"41,763"
2021-03,TN,"35,447"
2021-03,AZ,"22,922"
2021-03,MA,"58,052"
2021-03,VA,"43,794"
2021-03,IN,"26,540"
2021-03,WA,"26,469"
2021-03,SC,"33,099"
2021-03,MN,"41,085"
2021-03,MO,"17,054"
2021-03,(Other),"333,616"
2022-12,CA,"278,608"
2022-12,TX,"147,633"
2022-12,NY,"201,860"
2022-12,FL,"50,122"
2022-12,IL,"81,569"
2022-12,PA,"62,666"
2022-12,NC,"81,292"
2022-12,OH,"69,519"
2022-12,NJ,"84,118"
2022-12,MI,"53,490"
2022-12,GA,"45,731"
2022-12,TN,"44,998"
2022-12,AZ,"44,578"
2022-12,MA,"46,965"
2022-12,VA,"59,827"
2022-12,IN,"37,549"
2022-12,WA,"25,184"
2022-12,SC,"35,368"
2022-12,MN,"24,078"
2022-12,MO,"33,584"
2022-12,(Other),"306,686"
2020-07,CA,"282,930"
2020-07,TX,"296,354"
2020-07,NY,"58,941"
2020-07,FL,"136,624"
2020-07,IL,"42,879"
2020-07,PA,"26,039"
2020-07,NC,"56,534"
2020-07,OH,"36,052"
2020-07,NJ,"11,804"
2020-07,MI,"14,006"
2020-07,GA,"78,408"
2020-07,TN,"59,302"
2020-07,AZ,"86,688"
2020-07,MA,"9,181"
2020-07,VA,"30,267"
2020-07,IN,"22,627"
2020-07,WA,"24,074"
2020-07,SC,"56,424"
2020-07,MN,"20,193"
2020-07,MO,"31,571"
2020-07,(Other),"412,750"
2021-07,CA,"203,875"
2021-07,TX,"283,567"
2021-07,NY,"47,251"
2021-07,FL,"288,860"
2021-07,IL,"46,695"
2021-07,PA,"17,435"
2021-07,NC,"51,493"
2021-07,OH,"20,849"
2021-07,NJ,"24,811"
2021-07,MI,"34,272"
2021-07,GA,"38,140"
2021-07,TN,"35,523"
2021-07,AZ,"38,754"
2021-07,MA,"13,071"
2021-07,VA,"20,278"
2021-07,IN,"20,191"
2021-07,WA,"29,273"
2021-07,SC,"28,455"
2021-07,MN,"11,117"
2021-07,MO,"66,615"
2021-07,(Other),"423,136"
2021-04,CA,"66,112"
2021-04,TX,"122,886"
2021-04,NY,"144,856"
2021-04,FL,"169,117"
2021-04,IL,"81,153"
2021-04,PA,"121,209"
2021-04,NC,"51,909"
2021-04,OH,"53,965"
2021-04,NJ,"86,448"
2021-04,MI,"132,443"
2021-04,GA,"35,140"
2021-04,TN,"30,909"
2021-04,AZ,"21,915"
2021-04,MA,"49,616"
2021-04,VA,"37,166"
2021-04,IN,"33,313"
2021-04,WA,"41,433"
2021-04,SC,"25,809"
2021-04,MN,"54,864"
2021-04,MO,"17,953"
2021-04,(Other),"349,542"
2022-11,CA,"207,097"
2022-11,TX,"71,425"
2022-11,NY,"149,189"
2022-11,FL,"28,585"
2022-11,IL,"75,964"
2022-11,PA,"48,515"
2022-11,NC,"33,996"
2022-11,OH,"51,896"
2022-11,NJ,"54,792"
2022-11,MI,"296,571"
2022-11,GA,"18,349"
2022-11,TN,"27,048"
2022-11,AZ,"50,410"
2022-11,MA,"26,912"
2022-11,VA,"30,630"
2022-11,IN,"27,478"
2022-11,WA,"21,583"
2022-11,SC,"16,156"
2022-11,MN,"23,434"
2022-11,MO,"24,036"
2022-11,(Other),"345,918"
2022-09,CA,"145,993"
2022-09,TX,"143,317"
2022-09,NY,"137,021"
2022-09,FL,"41,225"
2022-09,IL,"54,936"
2022-09,PA,"70,591"
2022-09,NC,"74,677"
2022-09,OH,"69,813"
2022-09,NJ,"64,360"
2022-09,MI,"98,732"
2022-09,GA,"27,679"
2022-09,TN,"33,352"
2022-09,AZ,"19,461"
2022-09,MA,"41,034"
2022-09,VA,"46,220"
2022-09,IN,"23,593"
2022-09,WA,"30,649"
2022-09,SC,"29,411"
2022-09,MN,"26,600"
2022-09,MO,"32,818"
2022-09,(Other),"380,728"
2020-08,CA,"151,847"
2020-08,TX,"276,509"
2020-08,NY,"44,135"
2020-08,FL,"150,289"
2020-08,IL,"60,294"
2020-08,PA,"21,395"
2020-08,NC,"46,014"
2020-08,OH,"27,938"
2020-08,NJ,"11,486"
2020-08,MI,"14,487"
2020-08,GA,"63,249"
2020-08,TN,"45,719"
2020-08,AZ,"22,756"
2020-08,MA,"10,415"
2020-08,VA,"29,881"
2020-08,IN,"27,090"
2020-08,WA,"16,429"
2020-08,SC,"30,942"
2020-08,MN,"20,891"
2020-08,MO,"37,489"
2020-08,(Other),"316,390"
2023-01,CA,"124,282"
2023-01,TX,"125,727"
2023-01,NY,"149,517"
2023-01,FL,"107,149"
2023-01,IL,"47,260"
2023-01,PA,"52,791"
2023-01,NC,"69,864"
2023-01,OH,"40,696"
2023-01,NJ,"68,158"
2023-01,MI,"33,901"
2023-01,GA,"39,127"
2023-01,TN,"39,986"
2023-01,AZ,"16,245"
2023-01,MA,"35,955"
2023-01,VA,"49,758"
2023-01,IN,"19,863"
2023-01,WA,"22,451"
2023-01,SC,"37,661"
2023-01,MN,"18,238"
2023-01,MO,"19,972"
2023-01,(Other),"267,120"
2022-04,CA,"142,154"
2022-04,TX,"73,575"
2022-04,NY,"187,485"
2022-04,FL,"57,835"
2022-04,IL,"105,846"
2022-04,PA,"42,188"
2022-04,NC,"37,215"
2022-04,OH,"27,746"
2022-04,NJ,"66,501"
2022-04,MI,"100,344"
2022-04,GA,"16,795"
2022-04,TN,"9,743"
2022-04,AZ,"13,894"
2022-04,MA,"65,539"
2022-04,VA,"35,003"
2022-04,IN,"11,647"
2022-04,WA,"40,145"
2022-04,SC,"8,626"
2022-04,MN,"28,016"
2022-04,MO,"11,904"
2022-04,(Other),"297,366"
2020-09,CA,"101,279"
2020-09,TX,"144,419"
2020-09,NY,"47,870"
2020-09,FL,"112,374"
2020-09,IL,"62,723"
2020-09,PA,"26,582"
2020-09,NC,"42,686"
2020-09,OH,"29,230"
2020-09,NJ,"17,163"
2020-09,MI,"18,863"
2020-09,GA,"38,729"
2020-09,TN,"42,064"
2020-09,AZ,"16,778"
2020-09,MA,"13,120"
2020-09,VA,"26,732"
2020-09,IN,"26,699"
2020-09,WA,"14,040"
2020-09,SC,"27,085"
2020-09,MN,"26,289"
2020-09,MO,"48,357"
2020-09,(Other),"372,999"
2022-10,CA,"101,431"
2022-10,TX,"53,841"
2022-10,NY,"136,169"
2022-10,FL,"22,750"
2022-10,IL,"61,700"
2022-10,PA,"55,170"
2022-10,NC,"38,230"
2022-10,OH,"48,127"
2022-10,NJ,"57,353"
2022-10,MI,"69,722"
2022-10,GA,"15,980"
2022-10,TN,"21,959"
2022-10,AZ,"21,035"
2022-10,MA,"34,889"
2022-10,VA,"31,643"
2022-10,IN,"19,330"
2022-10,WA,"19,853"
2022-10,SC,"13,139"
2022-10,MN,"23,194"
2022-10,MO,"20,641"
2022-10,(Other),"309,739"
2020-06,CA,"174,367"
2020-06,TX,"123,388"
2020-06,NY,"68,393"
2020-06,FL,"82,201"
2020-06,IL,"22,694"
2020-06,PA,"16,834"
2020-06,NC,"45,288"
2020-06,OH,"19,567"
2020-06,NJ,"42,571"
2020-06,MI,"6,785"
2020-06,GA,"33,005"
2020-06,TN,"28,046"
2020-06,AZ,"71,654"
2020-06,MA,"8,098"
2020-06,VA,"17,490"
2020-06,IN,"11,940"
2020-06,WA,"14,136"
2020-06,SC,"28,514"
2020-06,MN,"11,715"
2020-06,MO,"12,117"
2020-06,(Other),"257,341"
2022-03,CA,"86,073"
2022-03,TX,"127,845"
2022-03,NY,"78,906"
2022-03,FL,"108,179"
2022-03,IL,"32,147"
2022-03,PA,"21,022"
2022-03,NC,"16,340"
2022-03,OH,"15,007"
2022-03,NJ,"26,950"
2022-03,MI,"132,806"
2022-03,GA,"26,697"
2022-03,TN,"7,551"
2022-03,AZ,"17,004"
2022-03,MA,"28,536"
2022-03,VA,"24,840"
2022-03,IN,"7,537"
2022-03,WA,"17,688"
2022-03,SC,"12,878"
2022-03,MN,"12,965"
2022-03,MO,"7,673"
2022-03,(Other),"269,834"
2021-05,CA,"38,346"
2021-05,TX,"73,706"
2021-05,NY,"42,428"
2021-05,FL,"83,133"
2021-05,IL,"31,907"
2021-05,PA,"43,767"
2021-05,NC,"26,875"
2021-05,OH,"26,718"
2021-05,NJ,"21,030"
2021-05,MI,"54,244"
2021-05,GA,"29,848"
2021-05,TN,"14,981"
2021-05,AZ,"17,396"
2021-05,MA,"14,856"
2021-05,VA,"14,606"
2021-05,IN,"21,245"
2021-05,WA,"27,573"
2021-05,SC,"12,675"
2021-05,MN,"19,729"
2021-05,MO,"12,938"
2021-05,(Other),"306,259"
2023-02,CA,"98,839"
2023-02,TX,"75,607"
2023-02,NY,"73,903"
2023-02,FL,"55,012"
2023-02,IL,"41,846"
2023-02,PA,"39,788"
2023-02,NC,"38,102"
2023-02,OH,"36,291"
2023-02,NJ,"31,736"
2023-02,MI,"46,082"
2023-02,GA,"28,271"
2023-02,TN,"28,447"
2023-02,AZ,"15,736"
2023-02,MA,"18,710"
2023-02,VA,"24,565"
2023-02,IN,"18,082"
2023-02,WA,"18,912"
2023-02,SC,"15,503"
2023-02,MN,"17,679"
2023-02,MO,"16,247"
2023-02,(Other),"180,117"
2020-04,CA,"46,572"
2020-04,TX,"21,180"
2020-04,NY,"223,047"
2020-04,FL,"21,127"
2020-04,IL,"62,715"
2020-04,PA,"40,857"
2020-04,NC,"9,944"
2020-04,OH,"16,340"
2020-04,NJ,"64,917"
2020-04,MI,"16,575"
2020-04,GA,"16,793"
2020-04,TN,"9,249"
2020-04,AZ,"7,390"
2020-04,MA,"56,199"
2020-04,VA,"17,900"
2020-04,IN,"15,636"
2020-04,WA,"7,981"
2020-04,SC,"4,020"
2020-04,MN,"8,299"
2020-04,MO,"6,155"
